CID,C4_2_C4_2_2,C4_4_N3_2_1,O2_2_O2_2_1,FC_5_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_14_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_50_C4_0_O2_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_60_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_C4_1_N3_2_/_1_1_1_1_1_1_1_1_1_3_/_0_0_0_0_0_0_0_0_0_0_0,FC_98_C4_0_H1_1_C4_1_H1_2_O2_2_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_2_2_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,LeafAC_C4_C4_2,LeafAC_N3_C4_3
7765,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7773,0.0,0.0,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0
7838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
7892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
8028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8058,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0
8063,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0
8071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8076,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
8078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8103,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0
8114,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0
8125,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.5,0.0
8129,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0
8133,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0
8134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8141,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0
8146,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
8148,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0
8150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8170,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0
8174,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0
8177,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0
8178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8179,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8183,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.5,0.0
8207,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0
8294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
8471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8846,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.5,0.0
8900,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0
8909,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0
9253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11529,0.0,0.0,0.0,0.333333,0.0,0.5,0.0,0.0,0.0,0.0
11552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11582,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0
11597,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.5,0.0
11614,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0
12375,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
13381,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.5,0.0
13387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14260,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.5,0.0
15287,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
15450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15600,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0
17258,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.5,0.0
17596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
18635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21210,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0
24752,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0
25054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28780,0.25,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0
31241,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0
31263,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
31264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
31288,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0
32898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
61140,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0
89594,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
447466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
638011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
643779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3035467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5353800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12642904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21896169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22833331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
