CID,na_in_C4,FC_5_C4_0_Cl1_1_/_1_/_0_0,LeafAC_O2_C4_1,na_ex_C4,LeafAC_O2_C4_2,ms,FC_6_N3_0_/_/_0,FC_3_C4_0_/_/_0,C4_2_C4_2_1,LeafAC_C4_N3_1,C4_2_O2_2_1,FC_10_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,LeafAC_O2_P5_2,C4_2_N3_2_1,FC_15_C4_0_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,LeafAC_O2_N3_2,dg_in_4,LeafAC_O2_S6_1,na_ex_F1,C4_2_N3_3_1,LeafAC_O2_P5_1,na_ex_Cl1,LeafAC_Br1_C4_1,na_ex_S2,FC_76_C4_0_Cl1_1_Cl1_1_/_1_1_/_0_0_0,LeafAC_C4_Si4_1,FC_165_C4_0_O2_1_C4_1_H1_2_H1_2_H1_2_/_2_1_1_1_1_/_0_0_0_0_0_0,FC_68_C4_0_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,C4_2_C4_2_2,na_ex_N3
40478,0.173913,0.7,0.0,0.0,0.0,0.260834,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583333,0.0,0.0,0.0,0.0,0,0.0,0.1,0.0
107484,0.246377,0.0,0.0,0.05,0.333333,0.0385312,0.0,0.1,0.0769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
21680693,0.173913,0.4,0.0,0.0,0.0,0.174444,0.0,0.1,0.0192308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0,0.0,0.1,0.0
439655,0.0289855,0.0,0.166667,0.1,0.333333,0.0988743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
439655,0.0289855,0.0,0.166667,0.1,0.333333,0.0988743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
439655,0.0289855,0.0,0.166667,0.1,0.333333,0.0988743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
439655,0.0289855,0.0,0.166667,0.1,0.333333,0.0988743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
439655,0.0289855,0.0,0.166667,0.1,0.333333,0.0988743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
439655,0.0289855,0.0,0.166667,0.1,0.333333,0.0988743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
439655,0.0289855,0.0,0.166667,0.1,0.333333,0.0988743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
439655,0.0289855,0.0,0.166667,0.1,0.333333,0.0988743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
439655,0.0289855,0.0,0.166667,0.1,0.333333,0.0988743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
11392,0.144928,0.0,0.0,0.0,0.0,0.0851736,0.0,0.1,0.0384615,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.142857
11392,0.144928,0.0,0.0,0.0,0.0,0.0851736,0.0,0.1,0.0384615,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.142857
11392,0.144928,0.0,0.0,0.0,0.0,0.0851736,0.0,0.1,0.0384615,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.142857
11392,0.144928,0.0,0.0,0.0,0.0,0.0851736,0.0,0.1,0.0384615,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.142857
9732,0.0869565,0.0,0.0416667,0.0,0.0,0.0845194,0.0,0.0,0.0192308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.1,0.0
23424495,0.0869565,0.0,0.0,0.2,0.0,0.0583537,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
23424495,0.0869565,0.0,0.0,0.2,0.0,0.0583537,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
23424495,0.0869565,0.0,0.0,0.2,0.0,0.0583537,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
23424495,0.0869565,0.0,0.0,0.2,0.0,0.0583537,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
