CID,n,M,C,O,N,Br,Cl,H,C2O,C1C,C1O,C1N,C1Br,C2C,C3N,C1Cl,#degree1,#degree2,#degree3,#degree4,#degree5,#degree6,#double_bond,#triple_bond,Diameter,Bc_121,Bc_122,Bc_123,Bc_131,Bc_132,Bc_141,Bc_221,Bc_222,Bc_223,Bc_231,Bc_232,Bc_241,Bc_331,Bc_332,Bc_341,Bc_441,C_1,C_2,C_3,C_1_1,C_1_2,C_1_3,C_2_2,C_1_1_1,C_1_1_2,C_1_1_1_1,O_1,O_2,O_1_1,N_1,N_2,N_3,N_1_1,N_1_2,N_1_1_1,Br_1,Cl_1,2-branch_height,2-branch_number
8133,8,130,6,2,0,0,0,14,0,4,3,0,0,0,0,0,2,6,0,0,0,0,0,0,0.875,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2
8142,9,146.111,8,0,0,0,1,17,0,7,0,0,0,0,0,1,2,7,0,0,0,0,0,0,0.888889,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
8174,11,123.636,10,1,0,0,0,22,0,9,1,0,0,0,0,0,2,9,0,0,0,0,0,0,0.909091,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
8182,12,120,12,0,0,0,0,26,0,11,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0.916667,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
8193,13,123.077,12,1,0,0,0,26,0,11,1,0,0,0,0,0,2,11,0,0,0,0,0,0,0.923077,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
8209,15,122.667,14,1,0,0,0,30,0,13,1,0,0,0,0,0,2,13,0,0,0,0,0,0,0.933333,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
8471,7,122.857,6,0,1,0,0,15,0,3,0,3,0,0,0,0,3,3,1,0,0,0,0,0,0.571429,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8857,6,133.333,4,2,0,0,0,8,1,2,2,0,0,0,0,0,3,2,1,0,0,0,1,0,0.666667,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
8900,7,120,7,0,0,0,0,16,0,6,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0.857143,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
8902,7,122.857,6,0,1,0,0,15,0,4,0,2,0,0,0,0,2,5,0,0,0,0,0,0,0.857143,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
8914,10,124,9,1,0,0,0,20,0,8,1,0,0,0,0,0,2,8,0,0,0,0,0,0,0.9,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
10485,5,256,4,0,0,1,0,9,0,3,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0.4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
10908,8,130,6,2,0,0,0,12,1,4,2,0,0,0,0,0,5,1,1,1,0,0,1,0,0.5,0,0,0,1,1,3,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
11006,16,120,16,0,0,0,0,34,0,15,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0.9375,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
11535,4,120,4,0,0,0,0,6,0,1,0,0,0,2,0,0,2,2,0,0,0,0,2,0,0.75,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
12348,9,128.889,7,2,0,0,0,14,1,5,2,0,0,0,0,0,3,5,1,0,0,0,1,0,0.777778,1,0,0,1,1,0,4,0,0,1,0,0,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2
12375,8,130,6,2,0,0,0,14,0,3,4,0,0,0,0,0,2,6,0,0,0,0,0,0,0.875,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2
12388,13,120,13,0,0,0,0,28,0,12,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0.923077,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
12389,14,120,14,0,0,0,0,30,0,13,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0.928571,2,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
12391,15,120,15,0,0,0,0,32,0,14,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0.933333,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
15600,10,120,10,0,0,0,0,22,0,9,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0.9,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
24874,5,124,4,0,1,0,0,11,0,3,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0.6,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
25914,7,122.857,6,0,1,0,0,15,0,4,0,2,0,0,0,0,2,5,0,0,0,0,0,0,0.857143,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
31272,8,130,6,2,0,0,0,12,1,4,2,0,0,0,0,0,3,4,1,0,0,0,1,0,0.75,1,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2
