CID,n,M,C,O,N,S,Cl,Pb,Si,Br,P,H,C1O,C2O,C1C,C1N,C2C,C1S,O1N,C2N,S1S,C2S,C1Cl,C1Pb,C3N,O1O,O1Si,C1Br,C3C,O1P,N1N,#degree1,#degree2,#degree3,#degree4,#degree5,#degree6,#double_bond,#triple_bond,Diameter,Bc_121,Bc_122,Bc_123,Bc_131,Bc_132,Bc_141,Bc_221,Bc_222,Bc_223,Bc_231,Bc_232,Bc_241,Bc_331,Bc_332,Bc_341,Bc_441,C_1,C_2,C_3,C_1_1,C_1_2,C_1_3,C_2_2,C_1_1_1,C_1_1_2,C_1_1_1_1,O_1,O_2,O_1_1,N_1,N_2,N_3,N_1_1,N_1_2,N_1_1_1,S_1,S_2,S_1_1,Cl_1,Pb_1,Pb_2,Pb_1_1,Si_1,Si_2,Si_3,Si_1_1,Si_1_2,Si_1_3,Si_2_2,Si_1_1_1,Si_1_1_2,Si_1_1_1_1,Br_1,P_1,P_2,P_3,P_1_1,P_1_2,P_1_1_1,2-branch_height,2-branch_number
3283,5,128,4,1,0,0,0,0,0,0,0,10,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0.8,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3327,16,122.5,15,1,0,0,0,0,0,0,0,26,1,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,3,0,0,0,3,0,0.75,1,0,0,4,0,0,5,0,0,2,3,0,0,0,0,0,4,0,0,5,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
3485,7,131.429,5,2,0,0,0,0,0,0,0,8,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,2,0,0.857143,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
4093,6,133.333,4,2,0,0,0,0,0,0,0,6,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,2,0,0.5,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4109,10,152,5,2,2,1,0,0,0,0,0,10,1,1,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,2,0,0.7,2,0,0,1,1,0,1,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
4678,14,132.857,9,4,1,0,0,0,0,0,0,19,3,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,2,1,0,0,1,0,0.642857,2,0,0,1,1,2,3,0,0,1,0,1,1,0,1,0,2,0,0,4,0,0,0,1,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
5251,8,130,6,2,0,0,0,0,0,0,0,8,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,3,0,0.75,1,0,0,1,1,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
5281,20,124,18,2,0,0,0,0,0,0,0,36,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,1,0,0,0,1,0,0.9,1,0,0,1,1,0,15,0,0,1,0,0,0,0,0,0,1,0,0,16,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
5455,12,190,6,0,2,4,0,0,0,0,0,12,0,0,0,6,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,6,2,4,0,0,0,2,0,0.583333,0,0,0,4,2,0,1,0,0,2,0,0,2,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
5541,15,136,9,6,0,0,0,0,0,0,0,14,6,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,0,0,0,3,0,0.533333,0,0,0,3,3,0,2,0,0,6,0,0,0,0,0,0,3,0,0,2,0,0,0,1,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
5543,16,180.312,10,1,1,1,3,0,0,0,0,16,0,1,5,3,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,8,2,6,0,0,0,2,0,0.5,0,0,0,7,1,0,1,0,0,2,0,0,3,1,0,0,4,0,0,1,0,0,0,2,3,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
