CID,n,rank,n_in,link_edge,ms,dg_1,dg_2,dg_3,dg_4,dg_in_1,dg_in_2,dg_in_3,dg_in_4,bd_in_2,bd_in_3,na_in_C4,na_in_N3,na_in_O2,na_ex_C4,na_ex_N3,na_ex_O1,na_ex_O2,C4_2_C4_2_1,C4_2_C4_2_2,C4_2_C4_3_1,C4_2_C4_3_2,C4_2_C4_4_1,C4_2_N3_2_1,C4_2_N3_3_1,C4_2_O2_2_1,C4_3_C4_3_1,C4_3_C4_3_2,C4_3_C4_4_1,C4_3_N3_2_1,C4_3_N3_3_1,C4_3_O2_2_1,C4_4_O2_2_1,link_edge_C4_2_C4_2_1,link_edge_C4_2_C4_2_2,link_edge_C4_2_C4_3_1,link_edge_C4_2_C4_3_2,link_edge_C4_2_C4_4_1,link_edge_C4_2_N3_2_1,link_edge_C4_2_O2_2_1,link_edge_C4_3_C4_3_1,link_edge_C4_3_C4_4_1,link_edge_C4_3_N3_2_1,link_edge_C4_3_O2_2_1,LeafAC_C4_C4_1,LeafAC_C4_C4_2,LeafAC_C4_N3_1,LeafAC_C4_O2_1,LeafAC_N3_C4_3,LeafAC_O1_N3_1,LeafAC_O2_C4_1,LeafAC_O2_C4_2,FC_1_C4_0_H1_1_/_1_/_0_0,FC_2_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_3_C4_0_/_/_0,FC_4_O2_0_/_/_0,FC_5_C4_0_O2_1_/_2_/_0_0,FC_6_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_7_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_8_N3_0_H1_1_/_1_/_0_0,FC_9_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_10_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_11_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_12_N3_0_/_/_0,FC_13_C4_0_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_14_C4_0_O2_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_15_C4_0_H1_1_H1_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_16_C4_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_17_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,FC_18_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_19_C4_0_H1_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_20_C4_0_N3_1_O1_2_O1_2_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_21_C4_0_N3_1_O1_2_O1_2_/_1_1_1_/_0_0_0_0,FC_22_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_23_C4_0_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_24_O2_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_25_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_26_C4_0_O2_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_27_O2_0_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_28_O2_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_29_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_N3_2_/_1_1_1_1_1_3_/_0_0_0_0_0_0_0,FC_30_C4_0_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_31_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_32_C4_0_O2_1_N3_1_H1_2_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_33_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0,FC_34_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_35_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,CS_connecting_vertices_C4_2,CS_connecting_vertices_C4_3,CS_connecting_vertices_C4_4,CS_connecting_vertices_N3_2,CS_connecting_vertices_O2_2
Poly(3-hexoxypropyleneOxide),0.28,0,0.269231,0.0625,0.185729,0,0.368421,0.142857,0,0.333333,0.3,0.166667,0,0,0,0.208333,0,0.4,0.333333,0,0,0,0.230769,0,0.333333,0,0,0,0,1,0,0,0,0,0,0.166667,0,0,0,0.5,0,0,0,0.5,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0.0555556,0.357143,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1
Poly(1-decene),0.24,0,0.230769,0,0,0,0.315789,0.142857,0,0.333333,0.25,0.166667,0,0,0,0.25,0,0,0.333333,0,0,0,0.384615,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.0555556,0.428571,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly(vinylN-octylEther),0.28,0,0.269231,0,0.0868732,0,0.368421,0.142857,0,0.333333,0.3,0.166667,0,0,0,0.25,0,0.2,0.333333,0,0,0,0.384615,0,0.333333,0,0,0,0,0.333333,0,0,0,0,0,0.166667,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.0555556,0.428571,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly(o-methylStyrene),0.2,0.25,0.230769,0,0.366858,0,0.210526,0.428571,0,0,0.25,0.333333,0,0.25,0,0.25,0,0,0.166667,0,0,0,0.0769231,0.333333,0.666667,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.277778,0.0714286,0.142857,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly[1_1-cyclopentaneBis(4-phenyl)carbonate],0.68,0.75,0.692308,0.25,0.689323,0,0.684211,0.714286,0.5,0,0.7,0.666667,1,0.5,0,0.666667,0,0.4,0,0,0,0.333333,0.384615,0.333333,0.666667,0.666667,0.5,0,0,0,0,0,0.5,0,0,0.666667,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.5,0.444444,0.285714,0.714286,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Poly(diphenylmethylMethacrylate),0.6,0.5,0.576923,0,0.60198,0,0.578947,0.571429,0.5,0,0.6,0.666667,0,0.5,0,0.583333,0,0.2,0.166667,0,0,0.333333,0.307692,0.666667,0.333333,0.333333,0.5,0,0,0,0.5,0,0.25,0,0,0.333333,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.5,0.611111,0.0714286,0.285714,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(vinylN-hexylEther),0.2,0,0.192308,0,0.107723,0,0.263158,0.142857,0,0.333333,0.2,0.166667,0,0,0,0.166667,0,0.2,0.333333,0,0,0,0.230769,0,0.333333,0,0,0,0,0.333333,0,0,0,0,0,0.166667,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.0555556,0.285714,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly(isopropylMethacrylate),0.2,0,0.0769231,0,0.339463,0,0.0526316,0.142857,0.5,0.333333,0.05,0.166667,0,0,0,0.0416667,0,0.2,0.666667,0,0,0.333333,0,0,0,0,0.5,0,0,0,0,0,0.25,0,0,0.166667,0,0,0,0,0,1,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0.5,0,0.0714286,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly[N-(2-phenylethyl)methacrylamide],0.4,0.25,0.384615,0,0.439741,0,0.421053,0.285714,0.5,0,0.45,0.333333,0,0.25,0,0.375,0.5,0,0.166667,0,0,0.333333,0.230769,0.333333,0.333333,0.166667,0.5,0.5,0,0,0,0,0.25,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.5,0.277778,0.214286,0.142857,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(vinylBenzoate),0.28,0.25,0.307692,0,0.742053,0,0.315789,0.428571,0,0,0.35,0.333333,0,0.25,0,0.291667,0,0.2,0,0,0,0.333333,0.153846,0.333333,0.5,0.166667,0,0,0,0,0.25,0,0,0,0,0.333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.333333,0.0714286,0.142857,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly(vinyl2-ethylhexylEther),0.28,0,0.192308,0,0.0868732,0,0.210526,0.285714,0,0.333333,0.2,0.166667,0,0,0,0.166667,0,0.2,0.666667,0,0,0,0.0769231,0,0.666667,0,0,0,0,0.333333,0,0,0,0,0,0.166667,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.0555556,0.214286,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly(ethyleneSuccinate),0.24,0,0.230769,0.375,0.792079,0,0.263158,0.285714,0,0,0.35,0,0,0,0,0.166667,0,0.4,0,0,0,0.666667,0.153846,0,0.333333,0,0,0,0,0.666667,0,0,0,0,0,0.333333,0,0.166667,0,1,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0.285714,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Polystyrene,0.16,0.25,0.230769,0,0.435644,0,0.263158,0.285714,0,0,0.25,0.333333,0,0.25,0,0.25,0,0,0,0,0,0,0.153846,0.333333,0.5,0.166667,0,0,0,0,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0.0714286,0.142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly(dodecylMethacrylate),0.56,0,0.461538,0,0.148515,0,0.578947,0.142857,0.5,0.333333,0.55,0.166667,0,0,0,0.458333,0,0.2,0.5,0,0,0.333333,0.692308,0,0,0,0.5,0,0,0.333333,0,0,0.25,0,0,0.166667,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.714286,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(methylMethacrylate),0.12,0,0.0384615,0,0.475248,0,0,0.142857,0.5,0.333333,0,0.166667,0,0,0,0.0416667,0,0,0.333333,0,0,0.666667,0,0,0,0,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0,0,0.333333,0,0,0,0.5,0,0.0714286,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(ethylAcrylate),0.12,0,0.0769231,0,0.475248,0,0.0526316,0.285714,0,0.333333,0.05,0.166667,0,0,0,0.0416667,0,0.2,0.333333,0,0,0.333333,0,0,0.333333,0,0,0,0,0,0.25,0,0,0,0,0.166667,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.5,0.0555556,0.0714286,0,0,0.5,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly(hexamethyleneAdipamide),0.48,0,0.461538,0.75,0.304325,0,0.578947,0.285714,0,0,0.65,0,0,0,0,0.416667,1,0,0,0,0,0.666667,0.615385,0,0.333333,0,0,1,0,0,0,0,0,1,0,0,0,0.666667,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.714286,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0
Poly(vinylN-pentylEther),0.16,0,0.153846,0,0.122412,0,0.210526,0.142857,0,0.333333,0.15,0.166667,0,0,0,0.125,0,0.2,0.333333,0,0,0,0.153846,0,0.333333,0,0,0,0,0.333333,0,0,0,0,0,0.166667,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.0555556,0.214286,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly[2_2-pentaneBis(4-phenyl)carbonate],0.68,0.5,0.576923,0.25,0.609292,0,0.526316,0.714286,0.5,0.333333,0.5,0.833333,0,0.5,0,0.541667,0,0.4,0.5,0,0,0.333333,0.153846,0.333333,0.666667,0.666667,0.25,0,0,0,0,0,0.5,0,0,0.666667,0,0,0,0,0,0,0,0,0,1,0,1,0.5,0,0,0,0,0,0,0.5,0.444444,0,0.571429,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Poly(vinylIsobutylEther),0.12,0,0.0769231,0,0.14174,0,0.105263,0.142857,0,0.333333,0.05,0.166667,0,0,0,0.0416667,0,0.2,0.5,0,0,0,0,0,0.333333,0,0,0,0,0.333333,0,0,0,0,0,0.166667,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.0555556,0.0714286,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
