CID,n,rank,n_in,ms,dg_1,dg_2,dg_3,dg_4,dg_in_1,dg_in_2,dg_in_3,dg_in_4,bd_in_2,bd_in_3,na_in_C4,na_in_N3,na_in_O2,na_in_S2,na_in_S6,na_ex_Br1,na_ex_C4,na_ex_Cl1,na_ex_F1,na_ex_N3,na_ex_O2,C4_2_C4_2_1,C4_2_C4_2_2,C4_2_C4_2_3,C4_2_C4_3_1,C4_2_C4_3_2,C4_2_C4_4_1,C4_2_N3_2_1,C4_2_N3_2_2,C4_2_N3_3_1,C4_2_O2_2_1,C4_2_S2_2_1,C4_2_S6_4_1,C4_3_C4_3_1,C4_3_C4_3_2,C4_3_C4_4_1,C4_3_N3_2_1,C4_3_N3_2_2,C4_3_N3_3_1,C4_3_O2_2_1,C4_3_S2_2_1,C4_4_C4_4_1,C4_4_N3_2_1,N3_2_N3_2_1,FC_1_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_2_C4_0_H1_1_/_1_/_0_0,FC_3_C4_0_/_/_0,FC_4_C4_0_O2_1_/_2_/_0_0,FC_5_N3_0_/_/_0,FC_6_N3_0_H1_1_/_1_/_0_0,FC_7_O2_0_/_/_0,FC_8_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_9_S2_0_/_/_0,FC_10_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,FC_11_C4_0_H1_1_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_12_C4_0_Cl1_1_/_1_/_0_0,FC_13_C4_0_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_14_C4_0_F1_1_/_1_/_0_0,FC_15_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0,FC_16_C4_0_C4_1_F1_2_F1_2_F1_2_/_1_1_1_1_/_0_0_0_0_0,FC_17_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_18_C4_0_O2_1_H1_2_/_1_1_/_0_0_0,FC_19_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_20_C4_0_Br1_1_/_1_/_0_0,FC_21_N3_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_22_C4_0_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_23_C4_0_O2_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_24_S6_0_O2_1_O2_1_/_2_2_/_0_0_0,FC_25_C4_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,LeafAC_Br1_C4_1,LeafAC_C4_C4_1,LeafAC_C4_N3_1,LeafAC_C4_O2_1,LeafAC_Cl1_C4_1,LeafAC_F1_C4_1,LeafAC_N3_C4_1,LeafAC_O2_C4_1,LeafAC_O2_C4_2,LeafAC_O2_S6_2
134160243,1,0,1,0.0866086,0,1,0.833333,0,0,1,0,0,0.428571,0,1,0.5,1,1,0,0,1,0,0,0,0.6,0.272727,0.333333,0,0.777778,0.25,0,0.333333,1,0.25,1,1,0,0.25,0.333333,0,1,0,0.4,0,0.666667,0,0,0,0.866667,0.454545,0,0.6,0.5,0.666667,1,0.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.6,0
145874883,0.606061,0,0.666667,0,0,0.73913,0.5,0,0,0.692308,0,0,0.142857,0,0.882353,0.25,0.333333,0.5,0,0,0.5,0,0,0,0.6,1,0.333333,0,0.333333,0,0,0.333333,0.5,0.125,0.333333,0.5,0,0.5,0.333333,0,0.75,0,0.6,0,0.333333,0,0,0,1,0.272727,0,0.8,0.333333,0.666667,0.333333,0.25,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0.8,0
118912822,0,0.333333,0,1,0,0,0.666667,0,0,0,0.5,0,0.571429,0,0,0.5,0,0.5,0,0,0.3,0.5,0,0,0,0,0.333333,0,0,0,0,0.333333,0,0,0,0,0,0.75,0.666667,0,0.25,1,0.8,0,0.666667,0,0,1,0,0.181818,0.333333,0.4,0.666667,0.333333,0,0.75,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0.5,0,0,0,0.4,0
135156947,0.484848,0,0.5,0.362852,0,0.608696,0.333333,0,0,0.538462,0,0,0.857143,0,0.588235,0.25,0.5,0.5,0,0,0.6,0.5,0.333333,0,0,0.272727,0.333333,0,0.555556,0.5,0,0.333333,1,0.125,0.416667,0.5,0,0,0.666667,0,0.75,0.333333,0,0.5,0.333333,0,0,0,0.466667,0.454545,0.333333,0,0.5,0.333333,0.5,0.25,0.5,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.333333,0,0.5,0,0
139035048,0.363636,0.333333,0.5,0.90821,0,0.521739,0.666667,0,0,0.461538,0.5,0,0.571429,0,0.823529,0,0,0.5,0,1,0,0,0,0,0.6,0.818182,1,0,0.333333,0.25,0,0.666667,0,0.125,0,0,0,0.75,0.666667,0,0.25,0,0.6,0,0.666667,0,0,0,0.6,0.545455,0.5,1,0.166667,0.666667,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
131986956,0.424242,1,0.583333,0.796256,0,0.521739,0.666667,1,0,0.461538,0.5,1,0.714286,1,1,0,0,0,0,0,0,1,0.333333,0,0.2,0.636364,1,1,0.444444,0.5,1,0,0,0.125,0,0,0,0.75,0.666667,1,1,0,0,0,0,1,1,0,0.4,0.818182,1,0.6,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333,0,0,0.6,0
122201421,0.606061,0.333333,0.625,0.42896,0,0.565217,1,0,0,0.576923,0.5,0,0.857143,0,0.588235,0.75,0.5,1,0,0,0.8,0.5,0,0,0,0.0909091,0.333333,0,0.444444,0.25,0,0.333333,0.5,0.125,0.5,0.5,0,0.5,0.666667,0,0.5,1,0.6,0,1,0,0,1,0.4,0.363636,0.333333,0.2,0.833333,0.333333,0.5,1,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0,0,0.5,0,0,0.5,0.2,0
122551841,0.727273,0.333333,0.75,0.243651,0,0.73913,0.833333,0,0,0.692308,0.5,0,1,0,0.941176,0.25,0.5,0.5,0,0,0.8,0.5,0,0,0.2,0.181818,1,0,1,1,0,0.333333,0.5,0.125,0.5,0.5,0,0.25,0.333333,0,0.75,0,0.4,0,0.333333,0,0,0,0.4,1,0.5,0.2,0.166667,0.666667,0.5,0.25,0.5,0.5,0.5,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.75,0,0,0.5,0,0,0.5,0.4,0
131801483,0.333333,0,0.416667,0.421408,0,0.608696,0,0,0,0.461538,0,0,0,0,0.294118,0.5,0.666667,1,0,0,0.4,0,0,0,0.2,0.363636,0,0,0,0,0,1,0,0.375,0.5,0.5,0,0,0,0,0.5,0.666667,0.2,1,1,0,0,0,0.733333,0,0,0.6,0.5,0.666667,0.666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.375,0,0,0,0,0,0,0.6,0
138454768,0.666667,0.666667,0.625,0.0983999,0,0.521739,1,0.5,0,0.5,1,0,0.714286,0,0.823529,0.5,0.166667,0.5,0,0,0.8,0,0.333333,0,0.4,0.272727,0.333333,0,0.555556,0.25,1,0.333333,1,1,0.0833333,0.5,0,0.5,1,0.333333,0,0,0.2,0.5,0.333333,0,0,0,0.666667,0.363636,0.5,0.2,0.666667,0,0.166667,0.25,0.5,0.5,0.5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0.333333,0,0.5,0.2,0
132427808,0.181818,0.333333,0.166667,0.87961,0,0.130435,0.833333,0,1,0.0769231,0.75,0,0.571429,0,0.235294,0.5,0,0.5,0,0,0.3,0.5,0,0,0.4,0.272727,0.333333,0,0,0,0,0.333333,0,0,0,0,0,1,0.666667,0,0.25,1,0.8,0,0.666667,0,0,1,0.2,0.181818,0.5,0.4,0.666667,0.333333,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0,0.5,0.5,0,0,0,0.6,0
