CID,n_in,LeafAC_O2_C4_1,C4_2_C4_4_1,LeafAC_O2_C4_2,C4_2_O2_2_1,FC_15_C4_0_C4_1_F1_2_F1_2_F1_2_/_1_1_1_1_/_0_0_0_0_0,N3_2_N3_2_1,FC_24_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_31_C4_0_H1_1_H1_1_C4_1_O2_2_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_11_C4_0_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_45_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_2_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,dg_in_1
44631912,0.392857,0.0,0.0,0.25,0.0,0.0,0,0,0,0.0,0,0.333333
71584930,0.339286,0.0,0.0,0.5,0.0,0.0,0,0,0,0.0,0,0.0
118513932,0.375,0.0,1.0,0.25,0.0,0.0,0,0,0,0.0,0,0.0
5745207,0.196429,0.0,0.0,0.25,0.125,0.0,0,0,0,0.0,0,0.333333
71815,0.0,0.111111,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.333333
77987108,0.285714,0.0,0.0,0.25,0.0,1.0,1,0,0,0.0,0,0.0
134436906,0.446429,0.111111,0.0,0.0,0.125,0.0,0,0,1,0.5,0,0.333333
10127622,0.25,0.111111,0.0,0.25,0.125,0.0,0,0,0,0.0,0,0.333333
135743681,0.321429,0.0,0.0,0.25,0.0,0.0,1,0,0,0.0,0,0.0
135743681,0.321429,0.0,0.0,0.25,0.0,0.0,1,0,0,0.0,0,0.0
135743681,0.321429,0.0,0.0,0.25,0.0,0.0,1,0,0,0.0,0,0.0
135743681,0.321429,0.0,0.0,0.25,0.0,0.0,1,0,0,0.0,0,0.0
5311454,0.107143,0.111111,0.0,0.0,0.25,0.0,0,0,0,0.0,0,0.333333
66558664,0.517857,0.0,0.0,0.5,0.5,0.0,0,0,0,0.0,0,0.0
25101755,0.25,0.0,0.0,0.75,0.0,0.5,0,0,0,0.0,0,0.0
71587953,1.0,0.0,0.0,0.5,1.0,0.0,0,0,0,0.0,0,0.0
46199646,0.357143,0.333333,0.666667,0.25,0.0,0.0,0,0,0,0.0,0,0.666667
51039094,0.482143,0.0,0.333333,0.0,0.125,0.0,0,1,0,0.0,0,0.0
58557659,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0.0,0,0.333333
67683363,0.803571,0.0,0.0,1.0,0.125,0.0,0,0,0,0.0,0,1.0
49846579,0.821429,0.0,0.666667,0.25,0.25,0.0,0,1,0,0.0,0,0.0
123315041,0.428571,0.111111,0.0,0.5,0.0,0.0,0,0,0,0.0,0,0.0
135565884,0.410714,0.0,0.0,0.5,0.0,0.0,0,0,0,0.0,0,0.333333
