CID,a
1-Chloro-3-methylbutane,179.5
Dimethylmalononitrile,179.5
Piperidine,179.86
1-Bromo-2-iodobenzene,179.9
Chloroacetic acid,179.9
N-Ethylacetamide,179.9
Isopropylmethylketone,180.0
Sulfolane,180.0
Phenylacetylene,180.1
1_2-Propyleneglycol,180.3
trans-Bicyclo(3_3_0)octane,180.3
4-Methylcyclohexene,180.42
Cycloheptane,180.61
Iso-Butanol,181.05
Ethylidenecyclopentane,181.2
Hexafluoroacetone,181.2
Cyclopentylamine,181.21
Perfluoropropane,181.6
Isobutyric acid,181.7
1-Bromo-3-chlorobenzene,181.9
Bromocyclohexane,182.1
Cyclohexanone,182.2
Benzylchloride,182.4
1-Bromo-3-iodobenzene,183.1
m-Xylene,183.18
Isobutylamine,183.2
1-Hexene,183.3
Glutaronitrile,183.3
1_2_3-Trichloropropane,183.6
p-Xylene,183.65
1_4-Dichlorobutane,184.0
2-Pentanone,184.1
Allylacetate,184.1
endo-2-Methylnorbornane,184.3
3_5-Dimethylpyridine,184.55
2_5-Dimethylpyridine,184.7
2_4-Dimethylpyridine,184.76
1-Methylpiperidine,184.9
Methylcyclohexane,184.96
3-Oxabicyclo(3_2_2)nonane,185.06
2_6-Dimethylpyridine,185.17
Cyclooctatetraen,185.18
Cyclopentanol,185.4
Trimethylacetaldehyde,185.58
Ethylbenzene,185.78
exo-2-Methylnorbornane,185.8
Trimethylhydrazine,185.8
Phenylisocyanate,186.2
Nitrobenzene,186.6
1-Ethylimidazole,186.82
Indene,186.94
1-Bromo-3-methylbutane,187.0
3-Chlorophenylisocyanate,187.0
Benzoylchloride,187.0
1_1-Dimethylcyclopentane,187.4
Ethylcyclopentane,187.4
Chlorotrimethylsilane,187.5
Methyl-t-butylether,187.5
o-Xylene,187.65
1-Chloropentane,187.7
Bicyclo(4_1_0)heptane,187.9
Ethylisopropylketone,187.9
Pentanoyl chloride,187.9
Dichloroacetic acid,188.0
2_5-Dimethyltetrahydrofuran,188.13
3-Methylpyrrolidine,188.28
1-Ethylcyclopentene,188.3
3_3-Dimethyl-1-butene,188.3
Trifluoromethylbenzene,188.45
Coumaran,188.64
Methylmethacrylate,188.7
Phthalan,188.7
2_3-Dimethylbutane,188.8
1-Ethylpyrazole,189.5
Benzothiazole,189.54
2_3-Dimethylpyridine,189.55
2_2-Dimethylbutane,189.67
1_2_3_4-Tetrafluorobenzene,189.9
Trimethylborate,189.9
1_2-Diiodobenzene,190.0
Tetrahydrofurfuryl alcohol,190.0
Indan,190.25
1_2_3_5-Tetrafluorobenzene,190.3
3-Methylenecyclobutanenitrile,190.8
cis-1_2-Dimethylcyclopentane,190.8
Methyl cyclobutanecarboxylate,190.8
trans-1_3-Dimethylcyclopentane,190.8
3-Methylpentane,190.83
3-Pentanone,190.9
Isopropylnitrate,191.1
1_2-Dimethoxyethane,191.14
1_4-Dibromobutane,191.2
t-Butylamine,191.71
Indole,192.0
m-Dibromobenzene,192.0
2_4-Dimethylpyrrole,192.19
1_2_4_5-Tetrafluorobenzene,192.2
n-Butylmethylether,192.48
Ethyltrichlorosilane,192.6
Cyclohexylmercaptan,192.63
Methyl bicyclobutane-1-carboxylate,192.9
Cyclopentyl methyl sulfide,193.18
1-Iodopentane,193.6
2-Methylpentane,193.96
n-Propylacetate,194.1
1_2_4-Trichlorobenzene,194.9
4-Fluoroaniline,195.2
2_5-Dimethylpyrrole,195.3
1_2-Dichlorobutane,195.6
3-Formylpropiononitrile,195.8
3_4-Dimethylpyridine,196.0
Naphthalene,196.06
Isoquinoline,196.16
Pentachloroethane,196.2
1_1_1_3-Tetrachloropropane,196.4
3-Chloro-1_1_1_3_3-pentafluoropropane,196.6
Isopropylacetate,196.6
2-Butanol,196.67
Caprolactone,196.8
o-Dibromobenzene,196.8
Isovaleric acid,197.1
Ethyl-n-propylether,197.2
1_1-Dimethylsilacyclobutane,197.53
Hexane,197.66
Trimethylvinylsilane,198.0
2-Methyl-2-butanethiol,198.15
Methylbutyrate,198.16
Ethyl propyl sulfide,198.41
3-Chloroaniline,198.7
3-Methyl-2-butanethiol,198.95
2-Chloroaniline,199.0
Anisol,199.0
Quinoline,199.2
N-Methylmorpholine,199.26
cis-3-Methylcyclohexanol,199.6
1_1_1-Trichloro-3_3_3-trifluoropropane,199.91
Methyl-t-butylsulfide,199.95
Diethylmethylamine,200.0
Phenol,200.0
n-Butylformate,200.25
Isopentylthiol,200.33
n-Pentylmercaptan,200.4
2-Methyl-1-butanethiol,200.7
n-Butylmethylsulfide,200.92
Styrene,201.9
2-Nitrotoluene,202.1
2-Phenylisopropene,202.1
trans-4-Methylcyclohexanol,202.1
3-Nitrotoluene,202.5
Thiobenzyl alcohol,202.81
Allylcyclopentane,202.9
Acetic acid 2-hydroxyethylester,203.0
1_4-Butanediol,203.79
Ethylidenecyclohexane,203.8
Diethyldisulfide,204.01
Furfurylalcohol,204.01
Ethylpropionate,204.06
Tetramethylsilane,204.1
1_3-Diaminopropane,204.4
2-Methylpiperidine,205.0
Azacycloheptane,205.0
Acetophenone,205.5
1_2-Diaminopropane,205.64
Methylphenylsulfide,206.02
2_2-Dinitropropane,206.3
3_3-Dimethyl-2-butanone,206.9
N-Methylbutylamide,207.0
N-Methylaniline,207.1
Benzylamine,207.18
N-Ethylmorpholine,207.32
cis-Cyclooctene,207.8
Mesitylene,207.85
Propylacetamide,207.94
1_5-Cyclooctadiene,208.1
1-Pentanol,208.14
2-Methyl-3-buten-2-ol,208.4
2-Piperidone,208.4
Acetylacetone (enol form),208.4
4-Methylpiperidine,209.0
N_N-Dimethylpropionamide,209.0
N_2-Dimethylpropanamide,209.2
1_1-Dimethylcyclohexane,209.24
cis-1_3-Dimethylcyclohexane,209.37
trans-1_2-Dimethylcyclohexane,209.41
2-Methylaniline,209.6
Dichloroacetic acid ethylester,209.6
Isoamyl alcohol,209.6
Perfluorocyclobutane,209.6
trans-Hexahydroindan,209.7
Valeric acid,210.0
Dimethylmalonate,210.1
1_4-Dimethylpiperazine,210.11
trans-1_4-Dimethylcyclohexane,210.25
2-Ethoxyethanol,210.3
n-Hexanal,210.4
DL-Lactic acid,210.5
Lactic acid,210.5
Pentafluorobenzene,210.79
Isopropylacetamide,211.0
2-Isopropylthiophene,211.38
1-Heptene,211.79
Ethylcyclohexane,211.79
Cycloheptanone,211.8
4-Methyl-2-pentanone,211.9
cis-1_4-Dimethylcyclohexane,212.09
2-Chloronitrobenzene,212.3
3-Dimethylaminopropanenitrile,212.5
Mesityloxide,212.5
1-Chloronaphthalene,212.6
trans-1_3-Dimethylcyclohexane,212.84
2_3-Butanediol,213.0
Ethyl cyclobutanecarboxylate,213.0
Ethyl cyclopropanecarboxylate,213.0
Pseudocumene,213.11
1_5-Dichloropentane,213.4
2-Hexanone,213.4
cis-Bicyclo(3_3_0)octane,213.4
Cyclohexanol,213.4
N_N-Dimethylaniline,213.4
2_2_3-Trimethylbutane,213.51
Chromane,214.0
Hydroxymethyl acetate,214.0
cis-Hexahydroindan,214.18
Isobutylformate,214.2
Dichlorodiethylsilane,214.7
Propylbenzene,214.72
3_3-Dimethylpentane,214.8
2-Phenylpropane,215.4
Cyclooctane,215.53
Benzylalcohol,215.9
1-Chlorohexane,216.2
Propylcyclopentane,216.27
1_2_3-Trimethylbenzene,216.44
3-Methylaniline,216.7
Diisopropylether,216.74
3-Hexanone,216.9
Phenylhydrazine,217.0
5_6_7_8-Tetrahydroquinoline,217.41
Tetralin,217.44
t-Butyl vinyl ether,217.6
2_2-Dimethoxypropane,217.7
Isochromane,217.77
n-Pentylamine,218.0
t-Butylethylether,218.0
2_3-Dimethylpentane,218.3
Diethylcarbonate,218.55
t-Butanol,218.6
Benzotrichloride,218.67
3_3-Bis(chloromethyl)oxetane,218.8
1_3-Butanediol,218.89
Glycerol,218.9
3-Ethylpentane,219.58
1-Bromohexane,219.7
1-Bromopentane,219.7
Cyclohexyl formate,219.7
Methyl methylthiomethyl sulfoxide,219.87
Triethylamine,219.9
Durene,220.1
Ethylbutyrate,220.1
Ethylcyanoacetate,220.22
Ethyl 2-chloropropanoate,220.5
Indole-3-carboxyaldehyde,220.5
Phenyltrichlorosilane,220.7
1_5-Dibromopentane,220.84
Di(2-chloroethyl)ether,220.9
4-Methylphenol,221.03
2_2-Dimethylpentane,221.12
Diacetone alcohol,221.3
Methylbenzoate,221.3
Di-n-propylether,221.45
Hexafluorobenzene,221.6
Salicylaldehyde,222.0
t-Amyl methyl ether,222.0
Tetrahydro-2H-pyran-2-methanol,222.0
n-Hexyliodide,222.5
2-Methylhexane,222.92
Methyl 2_2-dimethylpropanoate,223.0
Chloropentafluorobenzene,223.17
1-Nitro-3-(trifluoromethyl)benzene,223.8
2_4-Dimethylpentane,224.22
1-Methylnaphthalene,224.39
8-Methylquinoline,224.5
1-Ethoxy-2-methoxyethane,224.7
Quinaldine,224.72
3-Methylphenol,224.93
1_4-Diisocyanatobutane,225.06
Caproic acid,225.1
n-Butylacetate,225.1
Heptane,225.33
Di-n-propylsulfide,225.48
3-Methoxy-1-propanamine,225.52
Pentafluorotoluene,225.8
Valeric acid methylester,226.11
n-Propylpropionate,226.65
2-(Ethylamino)ethanol,227.0
2-Methylnaphthalene,228.0
Pyrrolidinium nitrate,228.0
Phenetole,228.5
trans-Decalin,229.17
2-Amino-2-methyl-1-propanol,229.5
Tetramethylurea,229.6
2-Methylphenol,229.75
Octahydroazocine,230.0
Ethyl trichloroacetate,230.1
n-Hexylmercaptan,230.71
n-Heptanal,230.78
1_2-Butanediol,230.82
Pentafluoroaniline,231.0
t-Butylacetate,231.0
1-Phenylpyrazole,231.6
Butyl vinyl ether,231.8
Isobutyl vinyl ether,231.8
Diisopropylsulfide,232.0
1-Ethylpiperidine,232.06
2_4_4-Trimethyl-2-nitropentane,232.48
1_5-Pentanediol,232.49
Cinnamaldehyde,232.6
Allylcyclohexane,233.5
4-Octyne,233.64
Diisopropylketone,233.7
Isobutylacetate,233.8
cis-3-Hexen-1-ol,234.0
2-Methyl-1_2-propanediamine,234.56
cis-Bicyclo(6_1_0)nonane,235.1
3_4-Dimethylpentanal,235.6
p-Anisidine,236.0
1_2_3_4-Tetrahydroquinoline,236.04
3_3-Dimethyl-1-butanol,236.08
2_3-Trimethylenenorbornane,236.5
Cyclohexylcarbinol,236.5
Butylacetamide,236.89
trans-3-Hexen-1-ol,237.2
Acetal,237.7
1_3_5-Trimethylhexahydro-s-triazine,237.75
N-Methylvaleramide,238.4
Succinic acid,238.6
2-Isopropoxyethanol,238.8
2_6-Dimethylaniline,238.86
3-Azabicyclo(3_2_2)nonane,238.9
Bicyclopentyl,238.9
Phenethylamine,239.24
N-Ethylaniline,239.3
trans-2-Octene,239.3
1_6-Dichlorohexane,239.57
3-Pentanol,239.7
Guaiacol,240.0
Triethylborine,240.0
2_4_4-Trimethyl-1-pentene,240.2
Methylorthosilicate,240.5
4_6-Dimethylindane,240.9
1-Octene,241.21
4_7-Dimethylindane,241.5
Propyl isopropyl ketone,241.5
t-Butylbenzene,241.59
2-Propoxyethanol,241.6
2_2_3-Trichlorobutyraldehyde,241.8
Acetylacetic acid ethylester,241.8
Propylcyclohexane,242.04
1-Octyne,242.14
1-Methyl-4-isopropylbenzene,242.3
2_2_4-Trimethylpentane,242.49
Methyl o-toluate,242.5
1-Hexanol,242.7
Ethyl-t-pentylether,243.0
Propiophenone,243.2
Butylbenzene,243.5
2-Heptanone,243.6
Diethyleneglycol,243.9
Ethyl N_N-dimethylglycinate,244.2
