CID,n,n_in,ms,dg_1,dg_2,dg_3,dg_4,dg_in_1,dg_in_2,dg_in_3,dg_in_4,dg_hyd_0,dg_hyd_1,dg_hyd_2,dg_hyd_3,bd_in_2,bd_in_3,na_in_C,na_in_N,na_in_O,na_ex_C,na_ex_N,na_ex_O,C2_C2_1,C2_C2_2,C2_C3_1,C2_C3_2,C2_C4_1,C2_N2_1,C2_N2_2,C2_N3_1,C2_O2_1,C3_C3_1,C3_C3_2,C3_C4_1,C3_N2_1,C3_N2_2,C3_N3_1,C3_O2_1,C4_C4_1,C4_O2_1,N2_N2_1,O2_O2_1,FC_C0_C1_C2/1/1,FC_C0_C1/1,FC_C0_O1/2,FC_C0_O1/1,FC_C0_N1/1,FC_C0_C1_O2/1/1,FC_C0_C1_C2_C2/1/1/1,FC_C0_C1_C1/1/1,FC_O0_C1_C2_O2/1/1/2,FC_C0_C1_O2_O2/1/1/2,FC_O0_C1_C2/1/1,FC_C0_C1_O2/1/2,FC_C0_O1_C2/1/1,FC_C0_C1_C2/1/2,FC_C0_C1_C1_O2/1/1/1,FC_C0_C1_C2_C2/2/1/1,FC_C0_O1_O1_C2/2/1/1,FC_C0_C1_C2_O2/1/1/2,FC_C0_C1_O1/1/2,FC_C0_C1_C1_C1/1/1/1,FC_C0_N1_C2_C2/1/1/1,FC_C0_C1/2,FC_C0_C1_C2_C2_O1/1/1/2/2,FC_N0_C1_C2_C1_C2/1/1/1/1,FC_C0_C1_C2/2/1,FC_C0_C1_C1/1/2,FC_C0_C1_C2_O2_O1_O1_C2/1/1/1/2/1/1,FC_C0_C1_C2_O1/1/2/2,FC_C0_C1_C2_C2_C2/1/1/1/1,FC_O0_C1_C2_C2_C2/1/1/1/1,FC_C0_C1_N2/1/3,FC_C0_C1_O1/1/1,FC_C0_C1_N2/1/1,FC_C0_O1_O1/1/2,FC_C0_C1_C2_C2/1/1/2,FC_C0_C1_C2_O1/1/1/2,FC_C0_C1_C1_O1/1/1/1,FC_C0_C1_C1_C2/1/1/1,FC_C0_C1_C2_C1_O2/1/1/1/2,FC_C0_N1/3,FC_C0_C1_C2_C1_O2_O2/1/1/1/1/2,FC_C0_C1_C2_O2/1/1/1,FC_C0_C1_N1_C2/1/1/1,FC_C0_C1_C2_O1_O1_C2/1/1/2/1/1,FC_C0_C1_C2_C1_C2_O2/1/1/1/1/2,FC_C0_C1_C1_C1_N1/1/1/1/1,FC_C0_C1_C2_O1_O1_C2/1/2/2/1/1,FC_C0_C1_C2_C2_C1_C2_O2/2/1/1/1/1/2,FC_C0_C1_C1_C2_C1_C2/1/1/1/1/1,FC_C0_C1_C2_O2_O1/1/1/1/2,FC_C0_C1_C2_O2_O1_C2/1/1/1/1/1,FC_C0_C1_C2_C1_O2/2/1/1/2,FC_C0_C1_C1_O1_O2/1/1/1/1,FC_C0_N1_C2/1/1,FC_C0_C1_C1_C2_C1_C2_C2_C2/1/2/1/1/1/1/1,FC_C0_C1_C1_N1/1/1/1,FC_N0_C1_O2/2/2,FC_C0_C1_C1_C1/1/1/2,FC_C0_C1_C2_C2_O2_C1_C2_O2/1/1/1/1/1/1/1,FC_C0_C1_C1_C1_O1/1/1/1/1,FC_C0_C1_C2_C1_O2_O1/1/1/1/1/1,FC_O0_C1_C2_C2_C1_C2_C2/1/1/1/1/1/1,FC_O0_C1_C2_O2_C1_C2_O2/1/1/2/1/1/2,FC_C0_C1_C2_C1_O2/1/1/1/1,FC_O0_C1_C2_C1_C2/1/1/1/1,FC_C0_N1_N2/1/1,FC_C0_C1_C2_C2_C1_O2/1/1/1/1/1,FC_N0_C1/1,FC_C0_C1_C2_C2_C1_C2_O2/1/1/1/1/1/2,FC_C0_C1_O1_C2/1/1/1,FC_C0_C1_C2_C1_N2/1/1/1/1,FC_C0_C1_C2_C2_O1/1/1/1/2,FC_O0_C1_C2_C2_C1_C2_O2/1/1/2/1/1/2,FC_O0_C1_C2_C1_C2_O2/1/2/1/1/2,FC_C0_O1_O2/1/1,FC_O0_C1_C2_C2_C1_C2_O2/1/1/1/1/1/2,FC_C0_C1_C1_C2_O1/1/1/2/1,FC_C0_C1_C2_O2_C1_C2_O2/1/1/2/1/1/2,FC_C0_C1_C2_C1_C2/1/1/1/1,FC_C0_C1_C1_C2/1/1/2,FC_C0_C1_C2_C2_O2_C1_C2_O2/1/1/1/1/1/1/2,FC_N0_C1_C2_C1_C2_C1_C2/1/1/1/1/1/1,FC_N0_C1_C2_O2/1/1/2,FC_O0_C1_C2_C2_C2_C1_C2_O2/1/1/1/1/1/1/2,FC_C0_C1_C1_N2/2/1/3
7923,0.0483871,0.0925926,0.857143,0,0.0638298,0.222222,0,0,0.1,0,0,0.384615,0.153846,0,0,0.125,0,0.0784314,0,0.25,0,0,0.333333,0,0.25,0.181818,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7929,0.0645161,0.111111,0,0,0.0851064,0.222222,0,0,0.12,0,0,0.153846,0.307692,0,0.285714,0.375,0,0.117647,0,0,0.222222,0,0,0.030303,0.25,0.181818,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7934,0.0645161,0.111111,0.125,0,0.0851064,0.222222,0,0,0.12,0,0,0.153846,0.307692,0.0243902,0.142857,0.375,0,0.117647,0,0,0.111111,0.5,0,0.030303,0.25,0.181818,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7947,0.0806452,0.111111,0,0,0.0638298,0.333333,0,0,0.12,0,0,0.230769,0.230769,0,0.428571,0.375,0,0.117647,0,0,0.333333,0,0,0,0,0.272727,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7949,0.0806452,0.111111,0.111111,0,0.0638298,0.333333,0,0,0.12,0,0,0.230769,0.230769,0.0243902,0.285714,0.375,0,0.117647,0,0,0.222222,0.5,0,0,0,0.272727,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7962,0.0483871,0.111111,0,0,0.106383,0.111111,0,0,0.12,0,0,0,0.0769231,0.121951,0.142857,0,0,0.117647,0,0,0.111111,0,0,0.121212,0,0.181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7963,0.0483871,0.111111,0.142857,0,0.106383,0.111111,0,0,0.12,0,0,0.153846,0.307692,0,0.142857,0.375,0,0.0980392,0.25,0,0.111111,0,0,0.030303,0.25,0.0909091,0.25,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7965,0.0483871,0.111111,0.142857,0,0.106383,0.111111,0,0,0.12,0,0,0,0.0769231,0.146341,0,0,0,0.117647,0,0,0,0.5,0,0.121212,0,0.181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7966,0.0483871,0.111111,0.285714,0,0.106383,0.111111,0,0,0.12,0,0,0,0.153846,0.121951,0,0,0,0.117647,0,0,0,0,0.166667,0.121212,0,0.181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7967,0.0483871,0.111111,0.285714,0,0.106383,0.111111,0,0,0.12,0,0,0.153846,0,0.121951,0,0,0,0.117647,0,0,0,0,0.166667,0.121212,0,0.181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
