CID,rank,n_in,ms,dg_2,dg_3,dg_in_2,bd_in_2,na_in_C4,na_ex_C4,na_ex_O2,na_ex_Si4,C4_2_C4_2_2,C4_2_C4_3_2,FC_2_C4_0_H1_1_/_1_/_0_0,FC_9_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_10_C4_0_/_/_0,LeafAC_C4_C4_1,LeafAC_C4_Si4_1,LeafAC_O2_C4_1
20,0,0.0416667,0.0397373,0.05,0,0,0,0.047619,0.444444,0,0,0,0,0,0,0,0.75,0,0
21,0,0.125,0.0332418,0.15,0,0.05,0,0.142857,0.277778,0,0,0,0,0,0,0,0.375,0,0
22,0,0.166667,0.0397373,0.2,0,0.1,0,0.190476,0.277778,0,0,0,0,0,0,0,0.375,0,0
23,0.5,0.208333,0.0960317,0.25,0,0.25,0,0.238095,0,0,0,0,0,0,0,0,0,0,0
24,0.5,0.25,0.0960317,0.3,0,0.3,0,0.285714,0,0,0,0,0,0,0,0,0,0,0
25,0.5,0.291667,0.0960317,0.35,0,0.35,0,0.333333,0,0,0,0,0,0,0,0,0,0,0
26,0.5,0.333333,0.0960317,0.4,0,0.4,0,0.380952,0,0,0,0,0,0,0,0,0,0,0
27,0.5,0.208333,0.0960317,0.2,0.25,0.25,0,0.238095,0.0555556,0,0,0,0,0,0,0,0.125,0,0
28,0.5,0.208333,0.0960317,0.2,0.25,0.25,0,0.238095,0.111111,0,0,0,0,0,0,0,0.125,0,0
29,0.5,0.25,0.0960317,0.25,0.25,0.2,0,0.285714,0.111111,0,0,0,0,0.1,0,0,0.125,0,0
30,0.5,0.208333,0.0960317,0.2,0.25,0.25,0,0.238095,0.166667,0,0,0,0,0,0,0,0.25,0,0
31,0.5,0.25,0.0960317,0.25,0.25,0.2,0,0.285714,0.166667,0,0,0,0,0.1,0,0,0.25,0,0
32,0.5,0.25,0.0960317,0.25,0.25,0.3,0,0.285714,0.0555556,0,0,0,0,0,0,0,0.125,0,0
33,0.5,0.25,0.0960317,0.2,0.5,0.3,0,0.285714,0.111111,0,0,0,0,0,0,0,0.25,0,0
34,0.5,0.25,0.0960317,0.2,0.5,0.3,0,0.285714,0.111111,0,0,0,0,0,0,0,0.25,0,0
35,0.5,0.291667,0.0960317,0.3,0.25,0.25,0,0.333333,0.111111,0,0,0,0,0.1,0,0,0.125,0,0
36,0.5,0.25,0.0960317,0.25,0.25,0.3,0,0.285714,0.166667,0,0,0,0,0,0,0,0.25,0,0
37,0.5,0.333333,0.0960317,0.35,0.25,0.3,0,0.380952,0.111111,0,0,0,0,0.1,0,0,0.125,0,0
38,0.5,0.291667,0.0960317,0.3,0.25,0.25,0,0.333333,0.166667,0,0,0,0,0.1,0,0,0.25,0,0
