CID,n,rank,n_in,link_edge,ms,dg_1,dg_2,dg_3,dg_4,dg_in_1,dg_in_2,dg_in_3,dg_in_4,bd_in_2,bd_in_3,na_in_C4,na_in_N3,na_in_O2,na_in_S2,na_in_S6,na_ex_C4,na_ex_Cl1,na_ex_O2,C4_2_C4_2_1,C4_2_C4_2_2,C4_2_C4_3_1,C4_2_C4_3_2,C4_2_C4_4_1,C4_2_N3_2_1,C4_2_O2_2_1,C4_3_C4_3_1,C4_3_C4_3_2,C4_3_C4_4_1,C4_3_N3_2_1,C4_3_O2_2_1,C4_3_S2_2_1,C4_3_S6_4_1,link_edge_C4_2_C4_2_1,link_edge_C4_2_C4_2_2,link_edge_C4_2_C4_3_1,link_edge_C4_2_C4_3_2,link_edge_C4_2_C4_4_1,link_edge_C4_2_N3_2_1,link_edge_C4_2_O2_2_1,link_edge_C4_3_C4_3_1,link_edge_C4_3_C4_4_1,link_edge_C4_3_N3_2_1,link_edge_C4_3_O2_2_1,link_edge_C4_3_S2_2_1,link_edge_C4_3_S6_4_1,LeafAC_C4_C4_1,LeafAC_C4_O2_1,LeafAC_Cl1_C4_1,LeafAC_O2_C4_2,LeafAC_O2_S6_2,FC_1_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_2_C4_0_H1_1_/_1_/_0_0,FC_3_C4_0_O2_1_/_2_/_0_0,FC_4_C4_0_/_/_0,FC_5_O2_0_/_/_0,FC_6_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_7_N3_0_H1_1_/_1_/_0_0,FC_8_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_9_C4_0_O2_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_10_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_11_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_12_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_13_C4_0_Cl1_1_/_1_/_0_0,FC_14_O2_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_15_S6_0_O2_1_O2_1_/_2_2_/_0_0_0,FC_16_S2_0_/_/_0,FC_17_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_18_C4_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_19_C4_0_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_20_C4_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,CS_connecting_vertices_C4_2,CS_connecting_vertices_C4_3,CS_connecting_vertices_C4_4,CS_connecting_vertices_N3_2,CS_connecting_vertices_O2_2,CS_connecting_vertices_S2_2
Poly(hexamethyleneSebacamide),0.571429,0,0.615385,0.888889,0.188941,0,0.882353,0.25,0,0,0.894737,0,0,0,0,0.608696,1,0,0,0,0,0,0.5,0.8,0,0.25,0,0,1,0,0,0,0,1,0,0,0,0.857143,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.875,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Poly(1-pentene),0.0357143,0,0.0384615,0,0,0,0.0588235,0.125,0,0.5,0,0.125,0,0,0,0.0434783,0,0,0,0,0.5,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0.0625,0.0625,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0
Poly[oxy(2_6-diphenyl-1_4-phenylene)],0.535714,0.75,0.653846,0,0.622011,0,0.705882,0.75,0,0,0.631579,0.75,0,0.75,0,0.695652,0,0.5,0,0,0,0,0,0.266667,1,0.5,0.5,0,0,0,1,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.75,0,0.75,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Poly(tetramethyleneAdipate),0.357143,0,0.384615,0.555556,0.388235,0,0.529412,0.25,0,0,0.578947,0,0,0,0,0.347826,0,1,0,0,0,0,0.5,0.4,0,0.25,0,0,0,0.5,0,0,0,0,0.5,0,0,0.428571,0,1,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Polyoxytetramethylene,0.0357143,0,0.115385,0.166667,0.169231,0,0.235294,0,0,0,0.210526,0,0,0,0,0.0869565,0,0.5,0,0,0,0,0,0.2,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.214286,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0
Poly(1-hexene),0.0714286,0,0.0769231,0,0,0,0.117647,0.125,0,0.5,0.0526316,0.125,0,0,0,0.0869565,0,0,0,0,0.5,0,0,0.0666667,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0.125,0.0625,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0
Poly[oxy(2_6-dimethyl-1_4-phenylene)],0.178571,0.25,0.192308,0,0.46436,0,0.117647,0.5,0,0,0.210526,0.25,0,0.25,0,0.173913,0,0.5,0,0,0.5,0,0,0,0,0.25,0.25,0,0,0,0.333333,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.666667,0,0,0,0,0,0.125,0,0.25,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Polyisobutylene,0,0,0,0,0,0,0,0,0.5,0,0.0526316,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.666667,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0
Poly(octadecylMethacrylate),0.714286,0,0.692308,0,0.0882353,0,1,0.125,0.5,0.5,0.894737,0.125,0,0,0,0.73913,0,0.5,0,0,0.75,0,0.25,1,0,0,0,0.666667,0,0.25,0,0,0.5,0,0.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.666667,0,0,0.5,0,1,0,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0
Poly(trimethyleneSuccinate),0.25,0,0.269231,0.388889,0.554622,0,0.352941,0.25,0,0,0.421053,0,0,0,0,0.217391,0,1,0,0,0,0,0.5,0.2,0,0.25,0,0,0,0.5,0,0,0,0,0.5,0,0,0.214286,0,1,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,1,0,0.3125,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
